Brand,Details,Shipping
ASUS,"Asus - Gaming Desktop PC - AMD Ryzen 7 3700X (8-Core 3.6 GHz), NVIDIA GeForce RTX 2060 Super (8 GB), 16 GB DDR4, 512 GB SSD, AMD B450, Windows 10 Home 64-bit, GL10DH",Free Shipping
ASUS,"ASUS - Gaming Desktop PC - Intel Core i5-9400F (6-Core 2.9 GHz), NVIDIA GeForce GTX 1660, 8 GB DDR4, 512 GB SSD, Intel B360, Windows 10 Home 64-bit, GL10CS",Free Shipping
ASUS,"ROG Strix GL12 Gaming Desktop, 9th Gen 8-core Intel Core i7-9700F, NVIDIA GeForce RTX 2060 6 GB, 16 GB DDR4 RAM, 1 TB PCIe SSD, Windows 10 Home, Iron Grey, GL12CX-NS763",Free Shipping
MSI,MSI Gaming Desktop Codex XE Plus 9SI-294US Intel Core i7 9th Gen 9700K (3.60 GHz) 16 GB DDR4 512 GB SSD NVIDIA GeForce GTX 1660 Ti Windows 10 Home 64-bit,Free Shipping
MSI,MSI Gaming Desktop Trident 3 9SI-449US Intel Core i7 9th Gen 9700F (3.00 GHz) 16 GB DDR4 1 TB SSD NVIDIA GeForce GTX 1660 Ti Windows 10 Pro 64-bit,Free Shipping
CyberpowerPC,CyberpowerPC - Gaming Desktop PC - Intel Core i5-9400F (2.90 GHz) AMD Radeon RX 5700 8 GB DDR4 512 GB SSD Windows 10 Home 64-bit Gamer Xtreme 9485R,Free Shipping
Acer America,Acer Gaming Desktop Nitro 50 N50-600-UR1J Intel Core i7 9th Gen 9700 (3.00 GHz) 16 GB DDR4 1 TB HDD 512 GB SSD NVIDIA GeForce RTX 2060 Windows 10 Home 64-bit,Free Shipping
MSI,MSI Gaming Desktop Trident A Plus 9SD-463US Intel Core i7 9th Gen 9700F (3.00 GHz) 16 GB DDR4 1 TB SSD NVIDIA GeForce RTX 2070 SUPER Windows 10 Home 64-bit,Free Shipping
MSI,MSI Gaming Desktop Trident 3 Arctic 9SI-446US Intel Core i7 9th Gen 9700F (3.00 GHz) 16 GB DDR4 512 GB SSD NVIDIA GeForce GTX 1660 Ti Windows 10 Home 64-bit,Free Shipping
ASUS,ASUS Gaming Desktop ROG Strix GA15DH-BS762 Ryzen 7 3rd Gen 3700X (3.60 GHz) 16 GB DDR4 512 GB SSD NVIDIA GeForce GTX 1660 Ti Windows 10 Home 64-bit,Free Shipping
SkyTech,"Skytech Oracle Gaming PC Desktop - AMD Ryzen 5 2600, NVIDIA GTX 1660 6 GB, 8 GB DDR4, 500 GB SSD, A320M Motherboard, 500 Watt 80 Plus",Free Shipping
SkyTech,"SkyTech - Gaming Desktop PC - AMD Ryzen 7 3700X (8-Core 3.6 GHz), NVIDIA GeForce RTX 2080 SUPER (8 GB), 16 GB DDR4, 1 TB SSD, AMD B450, Windows 10 Home 64-bit, Azure",Free Shipping
ABS,ABS Rogue SE - Ryzen 5 2600 - RX 580 - 8GB DDR4 - 512GB SSD - Gaming Desktop PC,Free Shipping
MSI,MSI Gaming Desktop Trident 3 9SC-478US Intel Core i7 9th Gen 9700F (3.00 GHz) 16 GB DDR4 1 TB SSD NVIDIA GeForce RTX 2060 SUPER Windows 10 Home 64-bit,Free Shipping
ABS,ABS iCue - Intel i7 9700K - Strix GeForce RTX 2070 Super - 16GB DDR4 3200MHz - 1TB SSD - Liquid Cooling (240mm) - Gaming Desktop PC - White,Free Shipping
